record_id,bike_id,bike_type,date,maintenance_type,cost,description
MR5000,BK216,classic,2024-02-12,tire_repair,125.68,tire repair for bike BK216
MR5001,BK206,classic,2024-02-13,chain_lubrication,194.02,chain lubrication for bike BK206
MR5002,BK205,electric,2024-02-28,battery_replacement,184.7,battery replacement for bike BK205
MR5003,BK216,classic,2024-02-16,brake_adjustment,31.04,brake adjustment for bike BK216
MR5004,BK215,classic,2024-01-21,general_inspection,155.42,general inspection for bike BK215
MR5005,BK204,classic,2024-03-12,brake_adjustment,61.19,brake adjustment for bike BK204
MR5006,BK211,classic,2024-01-26,chain_lubrication,22.29,chain lubrication for bike BK211
MR5007,BK209,classic,2024-01-23,general_inspection,117.82,general inspection for bike BK209
MR5008,BK206,electric,2024-02-17,brake_adjustment,36.33,brake adjustment for bike BK206
MR5009,BK217,classic,2024-02-08,chain_lubrication,99.2,chain lubrication for bike BK217
MR5010,BK209,electric,2024-02-29,chain_lubrication,104.0,chain lubrication for bike BK209
MR5011,BK202,classic,2024-03-30,tire_repair,149.08,tire repair for bike BK202
MR5012,BK211,classic,2024-01-04,chain_lubrication,161.28,chain lubrication for bike BK211
MR5013,BK212,classic,2024-02-11,brake_adjustment,177.18,brake adjustment for bike BK212
MR5014,BK201,classic,2024-02-03,chain_lubrication,18.93,chain lubrication for bike BK201
MR5015,BK212,classic,2024-02-08,tire_repair,16.75,tire repair for bike BK212
MR5016,BK216,electric,2024-01-16,battery_replacement,176.63,battery replacement for bike BK216
MR5017,BK214,classic,2024-01-25,tire_repair,77.23,tire repair for bike BK214
MR5018,BK219,classic,2024-02-18,tire_repair,35.44,tire repair for bike BK219
MR5019,BK213,electric,2024-03-02,battery_replacement,123.99,battery replacement for bike BK213
MR5020,BK215,classic,2024-03-19,tire_repair,94.14,tire repair for bike BK215
MR5021,BK216,classic,2024-01-12,tire_repair,191.94,tire repair for bike BK216
MR5022,BK204,electric,2024-02-08,tire_repair,177.64,tire repair for bike BK204
MR5023,BK213,classic,2024-03-17,general_inspection,198.0,general inspection for bike BK213
MR5024,BK206,electric,2024-03-03,battery_replacement,57.66,battery replacement for bike BK206
MR5025,BK218,electric,2024-02-26,battery_replacement,55.79,battery replacement for bike BK218
MR5026,BK216,classic,2024-01-06,brake_adjustment,163.14,brake adjustment for bike BK216
MR5027,BK214,classic,2024-01-20,chain_lubrication,199.06,chain lubrication for bike BK214
MR5028,BK209,classic,2024-03-02,chain_lubrication,199.32,chain lubrication for bike BK209
MR5029,BK202,classic,2024-01-13,general_inspection,56.41,general inspection for bike BK202
